source,platform,company,board_url,last_status,last_error,board_id,first_seen_utc,last_seen_utc
dead_confirmed,greenhouse,Paylocity,https://boards.greenhouse.io/paylocity,404,HTTP 404 (board not found),greenhouse:paylocity,2026-02-16T03:55:56.184375+00:00,2026-02-16T03:55:56.184375+00:00
dead_confirmed,greenhouse,Pear VC,https://boards.greenhouse.io/pearvc,404,HTTP 404 (board not found),greenhouse:pearvc,2026-02-16T03:55:56.372960+00:00,2026-02-16T03:55:56.372960+00:00
dead_confirmed,greenhouse,Pendulum,https://boards.greenhouse.io/pendulum,404,HTTP 404 (board not found),greenhouse:pendulum,2026-02-16T03:55:56.853293+00:00,2026-02-16T03:55:56.853293+00:00
dead_confirmed,greenhouse,Perfect,https://boards.greenhouse.io/perfect,404,HTTP 404 (board not found),greenhouse:perfect,2026-02-16T03:55:56.958588+00:00,2026-02-16T03:55:56.958588+00:00
dead_confirmed,greenhouse,Periscope Data,https://boards.greenhouse.io/periscopedata,404,HTTP 404 (board not found),greenhouse:periscopedata,2026-02-16T03:55:57.062179+00:00,2026-02-16T03:55:57.062179+00:00
dead_confirmed,greenhouse,Perplexity,https://boards.greenhouse.io/perplexityai,404,HTTP 404 (board not found),greenhouse:perplexityai,2026-02-16T03:55:57.160346+00:00,2026-02-16T03:55:57.160346+00:00
dead_confirmed,greenhouse,Personal Capital,https://boards.greenhouse.io/personalcapital,404,HTTP 404 (board not found),greenhouse:personalcapital,2026-02-16T03:55:57.336292+00:00,2026-02-16T03:55:57.336292+00:00
dead_confirmed,greenhouse,PhishLabs,https://boards.greenhouse.io/phishlabs,404,HTTP 404 (board not found),greenhouse:phishlabs,2026-02-16T03:55:57.453909+00:00,2026-02-16T03:55:57.453909+00:00
dead_confirmed,greenhouse,Pilot,https://boards.greenhouse.io/pilot,404,HTTP 404 (board not found),greenhouse:pilot,2026-02-16T03:55:57.555833+00:00,2026-02-16T03:55:57.555833+00:00
dead_confirmed,greenhouse,Pipedrive,https://boards.greenhouse.io/pipedrive,404,HTTP 404 (board not found),greenhouse:pipedrive,2026-02-16T03:55:58.226109+00:00,2026-02-16T03:55:58.226109+00:00
dead_confirmed,greenhouse,Pipefy,https://boards.greenhouse.io/pipefy,404,HTTP 404 (board not found),greenhouse:pipefy,2026-02-16T03:55:58.386063+00:00,2026-02-16T03:55:58.386063+00:00
